CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Norte;28002853;CP INF-PRI-SEC;MARTINA GARCIA;Avenida Julián Sánchez, 17 ;Fuente el Saz de Jarama;-;28140;916200825;916224053;cp.martinagarcia.fuenteelsaz@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28033679;CP INF-PRI-SEC;MIGUEL DE CERVANTES;Avenida De Villaviciosa, 7 ;Alcorcón;-;28922;916116198;916116569;cp.cervantes.alcorcon@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28076307;CP INF-PRI-SEC;MIGUEL DE CERVANTES;Calle De Maritornes C/v Insula Malindrania ;Getafe;-;28906;910517794;910517842;cp.migueldecervantes.getafe@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Este;28025415;CP INF-PRI-SEC;MIGUEL DE CERVANTES;Calle Miguel Cervantes, 4 ;Valdilecha;-;28511;918738437;918738660;cp.cervantes.valdilecha@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28079451;CP INF-PRI-SEC;PADRE GARRALDA;Calle Sierra Nevada, 32 ;Villanueva de la Cañada;-;28691;918354980;-;cp.padregarralda.villanuevadelacanada@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28001952;CP INF-PRI-SEC;PEÑALTA;Calle Peñalta, S/n ;Buitrago del Lozoya;-;28730;918680107;918680186;cp.penalta.buitrago@educa.madrid.org;cp.penalta.buitrago@educa.madrid.org;Auditivos;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28001848;CP INF-PRI-SEC;PRINCIPE DON FELIPE;Calle De Juan Carlos I, 40 ;Boadilla del Monte;-;28660;916331626;916331954;cp.principedonfelipe.boadilla@educa.madrid.org;-;Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28064160;CP INF-PRI-SEC;PRINCIPES DE ASTURIAS;Calle Atlántico Del Paular, 8 ;Pozuelo de Alarcón;-;28224;917140919;913515144;cp.principesdeasturias.pozuelodealarcon@educa.madrid.org;-;Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28073872;CP INF-PRI-SEC;PUERTA DE LA SIERRA;Calle Placer De Ver, S/n ;Venturada;-;28729;918439140;918439289;cp.puertadelasierra.venturada@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Sur;28060270;CP INF-PRI-SEC;SALVADOR DALI;Calle De La Tia Javiera, S/n ;Fuenlabrada;-;28942;916046230;916047303;cp.salvadordali.fuenlabrada@educa.madrid.org;ceipsodali@gmail.com;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28067604;CP INF-PRI-SEC;SALVADOR DE MADARIAGA;Calle La Lámpara, S/n ;Daganzo de Arriba;-;28814;918848589;918848590;cp.salvadordemadariaga.daganzo@educa.madrid.org;-;-;Público;Horario ampliado,Comedor;
Madrid-Este;28000029;CP INF-PRI-SEC;SAN BLAS;Calle Víctor Hurtado, S/n ;Ajalvir;-;28864;918844589;918844211;cp.sanblas.ajalvir@educa.madrid.org;-;-;Público;Horario ampliado,Comedor;
Madrid-Sur;28067768;CP INF-PRI-SEC;SAN MIGUEL;Calle De Las Viñas, 9 ;Villamantilla;-;28609;918137521;918126010;cp.sanmiguel.villamantilla@educa.madrid.org;-;-;Público;Horario ampliado,Comedor;
Madrid-Oeste;28001873;CP INF-PRI-SEC;SAN SEBASTIAN;Carretera Mazanares El Real, 10 ;Boalo, El;-;28413;918559382;-;cp.sansebastian.elboalo@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28063830;CP INF-PRI-SEC;SANSUEÑA;Plaza De La Cruz, 1 ;Talamanca de Jarama;-;28160;918417515;918417214;cp.sansuena.talamanca@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28067744;CP INF-PRI-SEC;SANTO ANGEL DE LA GUARDA;Calle Rodetas, 19 ;Chapinería;-;28694;918652735;-;cp.santoangeldelaguarda.chapineria@educa.madrid.org;-;Auditivos;Público;Transporte,Comedor;
Madrid-Norte;28039669;CP INF-PRI-SEC;SANTO DOMINGO;Avenida Del Guadalix, 35 ;Algete;-;28120;916221690;916222409;cp.santodomingo.algete@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28002105;CP INF-PRI-SEC;SUAREZ SOMONTE;Calle De La Ronda Del Sur, 54 ;Cenicientos;-;28650;918642528;918642528;cp.suarezsomonte.cenicientos@educa.madrid.org;-;-;Público;Activid. .Extraesc.;
Madrid-Sur;28042191;CP INF-PRI-SEC;VELAZQUEZ;Urbanizacion Nuevo Versalles, 16 ;Fuenlabrada;-;28942;916892040;914865728;cp.velazquez.fuenlabrada@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28022891;CP INF-PRI-SEC;VICENTE ALEIXANDRE;Avenida De La Constitución, 29 ;Miraflores de la Sierra;-;28792;918443873;918445212;cp.vicentealeixandre.miraflores@educa.madrid.org;-;Motóricos;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28002211;CP INF-PRI-SEC;VILLA DE COBEÑA;Calle De La Fuente, 17 ;Cobeña;-;28863;916208425;916208425;cp.villadecobena.cobena@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
