CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Capital;28010412;CP INF-PRI;AMADOR DE LOS RIOS;Paseo Del Marqués De Zafra, 16 ;Madrid;Salamanca;28028;917252610;917261891;cp.amadordelosrios.madrid@educa.madrid.org;-;Público;
Madrid-Este;28077208;CP INF-PRI;ANDREA CASAMAYOR;Avenida Valdediego C/v C/. Quevedo ;Paracuellos de Jarama;-;28860;917653712;-;cp.andreacasamayor.paracuellos@educa.madrid.org;-;Público;
Madrid-Sur;28038276;CP INF-PRI;ANDRES SEGOVIA;Avenida Europa, 1 ;Leganés;-;28915;916870128;916861729;cp.andressegovia.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28039967;CP INF-PRI;ANDRES SEGOVIA;Calle Empecinado, 60 ;Móstoles;-;28936;916451309;916451309;cp.andressegovia.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28069212;CP INF-PRI;ANGEL GONZALEZ;Calle Humanes De Madrid, 12 ;Leganés;-;28914;916485884;916486532;cp.angelgonzalez.leganes@educa.madrid.org;-;Público;
Madrid-Norte;28057027;CP INF-PRI;ANGEL LEON;Calle De Las Moradas, 3 ;Colmenar Viejo;-;28770;918458083;918458084;cp.angelleon.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Capital;28077877;CP INF-PRI;ANGEL NIETO;Avenida De Las Suertes Esquina C/ Arte Expresionista, S/n ;Madrid;Villa de Vallecas;28051;912723449;-;cp.angelnieto.madrid@educa.madrid.org;-;Público;
Madrid-Este;28074608;CP INF-PRI;ANTONI TAPIES;Calle Venezuela, 12 ;Coslada;-;28823;916714733;916714733;cp.antonitapies.coslada@educa.madrid.org;-;Público;
Madrid-Norte;28037740;CP INF-PRI;ANTONIO BUERO VALLEJO;Calle Vizcaya, 28 ;San Sebastián de los Reyes;-;28701;916527825;916537253;cp.buerovallejo.sansebastian@educa.madrid.org;-;Público;
Madrid-Capital;28072478;CP INF-PRI;ANTONIO FONTAN;Avenida Santuario De Valverde C/v Monasterio Arlanza, S/n ;Madrid;Fuencarral-El Pardo;28049;911722243;911720001;cp.antoniofontan.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28023108;CP INF-PRI;ANTONIO HERNANDEZ;Calle Del Pintor Velázquez, 13 ;Móstoles;-;28933;916133008;916140148;cp.antoniohernandez.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28005039;CP INF-PRI;ANTONIO MACHADO;Calle De Allariz, 3 ;Madrid;Carabanchel;28044;915088661;914006788;cp.machado.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28041731;CP INF-PRI;ANTONIO MACHADO;Calle Ignacio González, 15 ;Collado Villalba;-;28400;918513622;918490423;cp.machado.colladovillalba@educa.madrid.org;-;Público;
Madrid-Norte;28039359;CP INF-PRI;ANTONIO MACHADO;Calle De Miguel De Cervantes, 7 ;Colmenar Viejo;-;28770;918455004;918457333;cp.machado.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Oeste;28031506;CP INF-PRI;ANTONIO MACHADO;Avenida Reyes Católicos, 7 ;Majadahonda;-;28220;916389521;916389521;cp.machado.majadahonda@educa.madrid.org;-;Público;
Madrid-Norte;28000601;CP INF-PRI;ANTONIO MACHADO;Calle De Miraflores, 59 ;Alcobendas;-;28100;916526807;916639504;cp.machado.alcobendas@educa.madrid.org;-;Público;
Madrid-Norte;28031521;CP INF-PRI;ANTONIO MACHADO;Avenida De Valencia, 5 ;San Sebastián de los Reyes;-;28702;916534935;-;cp.machado.sansebastian@educa.madrid.org;-;Público;
Madrid-Este;28031531;CP INF-PRI;ANTONIO MACHADO;Calle Plata, S/n ;Torrejón de Ardoz;-;28850;916768492;916769638;cp.machado.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Este;28033621;CP INF-PRI;ANTONIO MACHADO;Calle Jiménez De Quesada, 7 ;Alcalá de Henares;-;28802;918815557;918815557;cp.machado.alcala@educa.madrid.org;-;Público;
Madrid-Este;28073926;CP INF-PRI;ANTONIO MINGOTE;Calle Arturo Soria, 7 ;Alcalá de Henares;-;28806;918786065;-;cp.antoniomingote.alcala@educa.madrid.org;-;Público;
Madrid-Norte;28043387;CP INF-PRI;ANTONIO OSUNA;Sector Islas, 26 ;Tres Cantos;-;28760;918038300;918045289;cp.antonioosuna.trescantos@educa.madrid.org;cp.antonioosuna.trescantos@educa.madrid.org;Público;
Madrid-Capital;28033941;CP INF-PRI;ARAGON;Avenida De Rafael Alberti, 2 ;Madrid;Puente de Vallecas;28038;913039852;913806367;cp.aragon.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28010424;CP INF-PRI;ARAVACA;Calle Del Estudio, 6 ;Madrid;Moncloa-Aravaca;28023;913078119;913071832;cp.aravaca.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28064056;CP INF-PRI;ARCO DE LA SIERRA;Calle De Santa Águeda, S/n ;Molar, El;-;28710;918412890;918412918;cp.arcodelasierra.elmolar@educa.madrid.org;-;Público;
Madrid-Capital;28035524;CP INF-PRI;ASTURIAS;Calle De Los Asturianos, 2 ;Madrid;Puente de Vallecas;28018;917770635;917850680;cp.asturias.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28023807;CP INF-PRI;ASUNCION DE NUESTRA SEÑORA;Calle Tahona, 12 ;Pozuelo de Alarcón;-;28223;917151253;917151253;cp.asuncion.pozuelodealarcon@educa.madrid.org;-;Público;
Madrid-Capital;28071383;CP INF-PRI;AUSIAS MARCH;Calle De La Estefanita, 9 ;Madrid;Villaverde;28021;917109916;917964694;cp.ausiasmarch.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28077336;CP INF-PRI;AVERROES;Avenida De Francia, 159 ;Arroyomolinos;-;28939;918879376;917031869;cp.averroes.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Norte;28060233;CP INF-PRI;BACHILLER ALONSO LOPEZ;Calle Francisco Largo Caballero, S/n ;Alcobendas;-;28100;916618157;916612505;cp.bachilleralonsolopez.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28001940;CP INF-PRI;BATALLA DE BRUNETE;Calle Del Escorial, 32 ;Brunete;-;28690;918158969;918159396;cp.batalladebrunet.brunete@educa.madrid.org;-;Público;
Madrid-Este;28028738;CP INF-PRI;BEATRIZ GALINDO;Calle Violeta, 19 ;Alcalá de Henares;-;28803;918898064;918812912;cp.beatrizgalindo.alcala@educa.madrid.org;beatrizgalindo@telefonica.net;Público;
Madrid-Este;28070721;CP INF-PRI;BEETHOVEN;Calle Montserrat Roig, 8 ;Torrejón de Ardoz;-;28850;914885016;914886550;cp.beethoven.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Sur;28039074;CP INF-PRI;BENITO PEREZ GALDOS;Calle Cuzco, 17 ;Fuenlabrada;-;28945;916066605;914920504;cp.perezgaldos.fuenlabrada@educa.madrid.org;cp.perezgaldos.fuenlabrada@educa.madrid.org;Público;
Madrid-Este;28069741;CP INF-PRI;BENITO PEREZ GALDOS;Calle León Felipe, 32 ;Arganda del Rey;-;28500;918759191;918759191;cp.perezgaldos.arganda@educa.madrid.org;-;Público;
Madrid-Sur;28076320;CP INF-PRI;BLAS DE LEZO;Calle Estrella Denébola, S/n ;Parla;-;28983;916216456;911376646;cp.blasdelezo.parla@educa.madrid.org;-;Público;
Madrid-Capital;28075777;CP INF-PRI;BLAS DE LEZO;Calle De Fromista, 27 ;Madrid;Fuencarral-El Pardo;28050;912761564;917031658;cp.blasdelezo.madrid@educa.madrid.org;-;Público;
Madrid-Este;28037557;CP INF-PRI;BLAS DE OTERO;Calle De La Virgen De La Cabeza, S/n ;Coslada;-;28821;916736620;916696918;cp.blasdeotero.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28031130;CP INF-PRI;BLAS DE OTERO;Calle Del Pintor Velázquez, 20 ;Móstoles;-;28933;916186591;916643072;cp.blasdeotero.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28035512;CP INF-PRI;BLAS DE OTERO;Calle De Puentelarra, 34 ;Madrid;Villa de Vallecas;28031;913311550;913310535;cp.blasdeotero.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28037201;CP INF-PRI;CALDERON DE LA BARCA;Calle De Calderón, 2 ;Madrid;Barajas;28042;917472465;917473130;cp.calderondelabarca.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28060336;CP INF-PRI;CANTOS ALTOS;Camino De La Fonda, S/n ;Collado Villalba;-;28400;918499966;918498568;cp.cantosaltos.colladovillalba@educa.madrid.org;-;Público;
Madrid-Capital;28005179;CP INF-PRI;CAPITAN CORTES;Calle De Monseñor Oscar Romero, 17 ;Madrid;Carabanchel;28025;914628662;914619130;cp.capitancortes.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28030198;CP INF-PRI;CARDENAL HERRERA ORIA;Calle De Fermín Caballero, 68 ;Madrid;Fuencarral-El Pardo;28034;913781613;917385711;cp.cardenalherrera.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28065516;CP INF-PRI;CARLOS III;Calle De Las Moreras, 221 ;Aranjuez;-;28300;918090165;918923245;cp.carlostercero.aranjuez@educa.madrid.org;-;Público;
Madrid-Este;28002737;CP INF-PRI;CARLOS RUIZ;Calle Del Prado, 2 ;Estremera;-;28595;918721356;918721649;cp.carlosruiz.estremera@educa.madrid.org;-;Público;
Madrid-Oeste;28002877;CP INF-PRI;CARLOS RUIZ;Calle Colmenarejo, 40 ;Galapagar;-;28260;918587015;918581268;cp.carlosruiz.galapagar@educa.madrid.org;-;Público;
Madrid-Capital;28010461;CP INF-PRI;CARLOS V;Calle De La Virgen Del Val, 3 ;Madrid;Ciudad Lineal;28027;914041481;914052705;cp.carlosquinto.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28035494;CP INF-PRI;CARMEN CONDE;Calle Pedro Patiño, 3 ;Leganés;-;28914;916887595;916887595;cp.carmenconde.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28000856;CP INF-PRI;CARMEN CONDE;Avenida Del Oeste, 2 ;Alcorcón;-;28922;916448242;916440016;cp.carmenconde.alcorcon@educa.madrid.org;-;Público;
Madrid-Norte;28035391;CP INF-PRI;CARMEN HERNANDEZ GUARCH;Sector Descubridores, 26 ;Tres Cantos;-;28760;911997054;-;cp.carmenhernandezguarch.trescantos@educa.madrid.org;-;Público;
Madrid-Norte;28050367;CP INF-PRI;CARMEN IGLESIAS;Avenida De Los Labradores, 13 ;Tres Cantos;-;28760;918034186;918034237;cp.carmeniglesias.trescantos@educa.madrid.org;-;Público;
Madrid-Capital;28071826;CP INF-PRI;CARMEN LAFORET;Calle De Omega, 60 ;Madrid;Vicálvaro;28032;917760141;917604734;cp.carmenlaforet.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28063994;CP INF-PRI;CARPE DIEM;Calle Rio Ebro, 2 ;Villanueva del Pardillo;-;28229;918100254;918123577;cp.carpediem.villanuevadelpardillo@educa.madrid.org;-;Público;
Madrid-Norte;28033655;CP INF-PRI;CASTILLA;Plaza De Castilla, 4 ;Alcobendas;-;28100;916530448;912296976;cp.castilla.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28031415;CP INF-PRI;CELSO EMILIO FERREIRO;Avenida De Los Sauces, 53 ;Móstoles;-;28935;916470184;916464218;cp.celsoemilioferr.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28026523;CP INF-PRI;CERVANTES;Calle De Extremadura, 40 ;Fuenlabrada;-;28944;916976809;912749983;cp.cervantes.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Este;28073938;CP INF-PRI;CHARLES DICKENS;Calle Berlín, 1 ;Loeches;-;28890;918851261;918851946;cp.charlesdickens.loeches@educa.madrid.org;-;Público;
Madrid-Norte;28058551;CP INF-PRI;CHOZAS DE LA SIERRA;Avenida De Las Islas, S/n ;Soto del Real;-;28791;918479337;918478374;cp.chozasdelasierra.soto@educa.madrid.org;-;Público;
Madrid-Norte;28042826;CP INF-PRI;CIUDAD DE COLUMBIA;Sector Pueblos, 19 ;Tres Cantos;-;28760;918032800;918040934;cp.ciudaddecolumbia.trescantos@educa.madrid.org;-;Público;
Madrid-Capital;28011684;CP INF-PRI;CIUDAD DE CORDOBA;Calle De Lillo, 1 ;Madrid;Villaverde;28041;913172417;913179827;cp.ciudaddecordoba.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018502;CP INF-PRI;CIUDAD DE GUADALAJARA;Calle Del Bergantín, 13 ;Madrid;Barajas;28042;917470938;917472064;cp.ciudaddeguadalajara.madrid@educa.madrid.org;ciudad5@centros2.pntic.mec.es;Público;
Madrid-Capital;28004904;CP INF-PRI;CIUDAD DE JAEN;Calle De La Madre Rosa Blanco_, 3 ;Madrid;Usera;28041;913174313;913171644;cp.ciudaddejaen.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28045074;CP INF-PRI;CIUDAD DE NEJAPA;Avenida De Los Labradores, 26 ;Tres Cantos;-;28760;918033835;918035367;cp.ciudaddenejapa.trescantos@educa.madrid.org;-;Público;
Madrid-Capital;28031087;CP INF-PRI;CIUDAD DE ROMA;Calle De Juan Esplandiu, 2 ;Madrid;Retiro;28007;915743897;915041695;cp.ciudadderoma.madrid@educa.madrid.org;ciudad13@centros2.pntic.mec.es;Público;
Madrid-Capital;28005246;CP INF-PRI;CIUDAD PEGASO;Avenida Séptima, 12 ;Madrid;San Blas-Canillejas;28022;917412017;917436218;cp.ciudadpegaso.madrid@educa.madrid.org;-;Público;
Madrid-Este;28024319;CP INF-PRI;CIUDADES UNIDAS;Calle Vitoria, S/n ;San Fernando de Henares;-;28830;916721138;916721138;cp.ciudadesunidas.sanfernando@educa.madrid.org;-;Público;
Madrid-Sur;28035421;CP INF-PRI;CLARA CAMPOAMOR;Calle De Murcia, 14 ;Fuenlabrada;-;28945;916158712;917031811;cp.claracampoamor.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Capital;28005258;CP INF-PRI;CLAUDIO MOYANO;Calle De Cea Bermúdez, 26 ;Madrid;Chamberí;28003;915335718;915345924;cp.claudiomoyano.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28033928;CP INF-PRI;COMPLEJO ESCOLAR PRINCIPE FELIPE;Avenida De Monforte De Lemos, 24 ;Madrid;Fuencarral-El Pardo;28029;913146819;913232548;cp.principefelipe.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28033783;CP INF-PRI;CONCEPCION ARENAL;Avenida De Las Ciudades, 35 ;Getafe;-;28903;916019480;916824058;cp.concepcionarenal.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28073008;CP INF-PRI;CONSTITUCION DE 1812;Calle De León C/v C/ Valladolid, S/n ;Leganés;-;28914;912640023;912640009;cp.constitucionde1812.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28072995;CP INF-PRI;CORTES DE CADIZ;Avenida De Niceto Alcalá Zamora C/v Isabel De Valois, S/n ;Madrid;Hortaleza;28050;911727223;911720746;cp.cortesdecadiz.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28004266;CP INF-PRI;DAMASO ALONSO;Avenida De Espinela, 1 ;Madrid;Villaverde;28021;917970620;917970620;cp.damasoalonso.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28001137;CP INF-PRI;DANIEL MARTIN;Avenida Del Alcalde José Aranda, 45 ;Alcorcón;-;28923;916108191;916101196;cp.danielmartin.alcorcon@educa.madrid.org;-;Público;
Madrid-Oeste;28028155;CP INF-PRI;DANIEL VAZQUEZ DIAZ;Carretera M-619 (alpedrete), 1 ;Collado Villalba;-;28400;918506138;918406405;cp.vazquezdiaz.colladovillalba@educa.madrid.org;-;Público;
Madrid-Capital;28021446;CP INF-PRI;DANIEL VAZQUEZ DIAZ;Calle De Armenteros, 46 ;Madrid;Moncloa-Aravaca;28039;914505842;913117764;cp.vazquezdiaz.madrid@educa.madrid.org;-;Público;
Madrid-Este;28000081;CP INF-PRI;DAOIZ Y VELARDE;Calle Infantado, 2 ;Alcalá de Henares;-;28807;918880958;918880958;cp.daoizyvelarde.alcala@educa.madrid.org;-;Público;
Madrid-Norte;28000765;CP INF-PRI;DAOIZ Y VELARDE;Avenida De Valdelaparra, 92 ;Alcobendas;-;28108;916616095;916613142;cp.daoizyvelarde.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28069340;CP INF-PRI;DAOIZ Y VELARDE;Calle De José Echegaray, 59 ;Getafe;-;28909;916849327;916848845;cp.daoizyvelarde.getafe@educa.madrid.org;-;Público;
Madrid-Capital;28005076;CP INF-PRI;DE PRACTICAS ASUNCION RINCON;Avenida De Filipinas, 5 ;Madrid;Chamberí;28003;915542118;915345120;cp.asuncionrincon.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28073033;CP INF-PRI;DIEGO MUÑOZ-TORRERO;Calle De María Curie, 46 ;Valdemoro;-;28342;911744348;911743011;cp.diegomunoz-torrero.valdemoro@educa.madrid.org;-;Público;
Madrid-Capital;28028854;CP INF-PRI;DIONISIO RIDRUEJO;Calle De Zipaquira, 14 ;Madrid;Hortaleza;28033;917639188;917639188;cp.dionisioridruej.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28060282;CP INF-PRI;DÑA. LEONOR DEL ALAMO;Calle Rosalía De Castro, 4 ;Valdemoro;-;28342;918762311;918762344;cp.leonordelalamo.valdemoro@educa.madrid.org;-;Público;
Madrid-Capital;28010503;CP INF-PRI;DOCTOR CONDE ARRUGA;Calle De Hacienda De Pavones, 105 ;Madrid;Moratalaz;28030;917732393;917737286;cp.condearruga.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28021422;CP INF-PRI;DOCTOR SEVERO OCHOA;Calle De Ezcaray, 3 ;Madrid;Vicálvaro;28032;917752715;917750711;cp.severoochoa.madrid@educa.madrid.org;cp.severoochoa.madrid@educa.madrid.org;Público;
Madrid-Sur;28028386;CP INF-PRI;DOCTOR SEVERO OCHOA;Avenida De Los Ángeles, 26 ;Getafe;-;28903;916950006;916950006;cp.severoochoa.getafe@educa.madrid.org;-;Público;
Madrid-Capital;28018459;CP INF-PRI;DOCTOR TOLOSA LATOUR;Calle De Los Asturianos, 4 ;Madrid;Puente de Vallecas;28018;917784794;917777679;cp.tolosalatour.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28069170;CP INF-PRI;DOS DE MAYO;Calle Ruperto Chapí, 1 ;Pinto;-;28320;916706830;916926539;cp.dosdemayo.pinto@educa.madrid.org;-;Público;
Madrid-Este;28028741;CP INF-PRI;DULCINEA;Cuesta Teatinos, 10 ;Alcalá de Henares;-;28805;918895926;918829312;cp.dulcinea.alcala@educa.madrid.org;-;Público;
Madrid-Este;28003961;CP INF-PRI;DUQUE DE ALBA;Avenida Argentina, 2 ;Loeches;-;28890;918851010;918308572;cp.duquedealba.loeches@educa.madrid.org;-;Público;
Madrid-Sur;28024794;CP INF-PRI;DUQUE DE RIVAS;Calle Villanueva, 1 ;Sevilla la Nueva;-;28609;918130019;918130790;cp.duquederivas.sevilla@educa.madrid.org;-;Público;
Madrid-Capital;28005933;CP INF-PRI;EDUARDO ROJO;Calle De Eduardo Rojo, 2 ;Madrid;Puente de Vallecas;28018;914774560;914784525;cp.eduardorojo.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28039360;CP INF-PRI;EE.UU. DE AMERICA-HUARTE DE SAN JUAN;Paseo Del Comandante Fortea, 71 ;Madrid;Moncloa-Aravaca;28008;915418978;915594699;cp.eeuu.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28000042;CP INF-PRI;EL ALAMO;Calle Del Río Alagón, 1 ;Álamo, El;-;28607;918120652;918122834;cp.elalamo.elalamo@educa.madrid.org;-;Público;
Madrid-Sur;28077211;CP INF-PRI;EL BERCIAL;Calle Camerún, S/n ;Getafe;-;28907;913912043;917031867;cp.elbercial.getafe@educa.madrid.org;-;Público;
Madrid-Este;28024861;CP INF-PRI;EL BUEN GOBERNADOR;Avenida Constitución, 9 ;Torrejón de Ardoz;-;28850;916751372;916751372;cp.elbuengobernado.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Oeste;28044653;CP INF-PRI;EL ENEBRAL;Calle Doctor José María Poveda, 6 ;Collado Villalba;-;28400;918507126;918517229;cp.elenebral.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28028261;CP INF-PRI;EL OLIVAR;Calle De Nazario Calonge, S/n ;San Fernando de Henares;-;28830;916738928;910187126;cp.elolivar.sanfernando@educa.madrid.org;-;Público;
Madrid-Capital;28042796;CP INF-PRI;EL QUIJOTE;Calle De Fuentidueña, 4 ;Madrid;Villa de Vallecas;28031;913800214;913800246;cp.elquijote.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28060351;CP INF-PRI;EL RASO;Calle Del Raso, 6 ;Moralzarzal;-;28411;918421080;918421080;cp.elraso.moralzarzal@educa.madrid.org;-;Público;
Madrid-Sur;28073902;CP INF-PRI;EL TRIGAL;Calle Álava, 11 ;Fuenlabrada;-;28941;916156221;916156656;cp.eltrigal.fuenlabrada@educa.madrid.org;eltrigaldefuenla@yahoo.es;Público;
Madrid-Norte;28077841;CP INF-PRI;EL VELLON;Calle Jockey Florentino González, 2 ;Vellón, El;-;28722;918413475;-;cp.elvellon@educa.madrid.org;-;Público;
Madrid-Capital;28005349;CP INF-PRI;EMILIA PARDO BAZAN;Calle Del Ventorrillo, 14 ;Madrid;Centro;28005;915306059;-;cp.pardobazan.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28028775;CP INF-PRI;EMILIO CASADO;Calle Del Doctor Casimiro Morcillo, 51 ;Alcobendas;-;28100;916618407;916619572;cp.emiliocasado.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28073914;CP INF-PRI;EMPERADOR CARLOS V;Calle De Magallanes, S/n ;Getafe;-;28903;916812701;916831100;cp.emperadorcarlosv.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28039815;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Juan Carlos I, 26 ;Getafe;-;28905;916827190;916011566;cp.tiernogalvan.getafe@educa.madrid.org;-;Público;
Madrid-Este;28038461;CP INF-PRI;ENRIQUE TIERNO GALVAN;Avenida De Algorta, S/n ;San Fernando de Henares;-;28830;916736531;916738816;cp.tiernogalvan.sanfernando@educa.madrid.org;etiernogal@telefonica.net;Público;
Madrid-Este;28070718;CP INF-PRI;ERNEST HEMINGWAY;Calle Gonzalo Torrente Ballester, 74 ;Alcalá de Henares;-;28806;918784065;918303988;cp.ernesthemingway.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28004965;CP INF-PRI;ESCUELAS AGUIRRE;Calle De Pío Baroja, 4 ;Madrid;Retiro;28009;915741864;915044683;cp.aguirre.madrid@educa.madrid.org;cp.aguirre.madrid@educa.madrid.org;Público;
Madrid-Capital;28005167;CP INF-PRI;ESCUELAS BOSQUE;Avenida De Santo Ángel De La Guarda, 4 ;Madrid;Moncloa-Aravaca;28039;914505060;914590557;cp.escuelasbosque.madrid@educa.madrid.org;-;Público;
Madrid-Este;28050380;CP INF-PRI;ESPARTALES;Calle Rosalia De Castro, 3 ;Alcalá de Henares;-;28806;918832651;918870815;cp.espartales.alcala@educa.madrid.org;cpno29@eresmas.com;Público;
Madrid-Capital;28021409;CP INF-PRI;ESPERANZA;Calle De Andorra, 12 ;Madrid;Hortaleza;28043;913003012;913003012;cp.esperanza.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28032791;CP INF-PRI;EUGENIO MARIA DE HOSTOS;Calle De Valdevarnés, 26 ;Madrid;Moncloa-Aravaca;28039;913736366;913866937;cp.eugeniomariadeh.madrid@educa.madrid.org;-;Público;
Madrid-Este;28039955;CP INF-PRI;EUROPA;Avenida De Juan Gris, 33 ;Mejorada del Campo;-;28840;916792551;-;cp.europa.mejorada@educa.madrid.org;-;Público;
Madrid-Sur;28050422;CP INF-PRI;EUROPA;Calle Grecia, 1 ;Pinto;-;28320;916921300;916913924;cp.europa.pinto@educa.madrid.org;-;Público;
Madrid-Oeste;28035551;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Norias, 76 ;Majadahonda;-;28221;916388161;916390209;cp.garcialorca.majadahonda@educa.madrid.org;federi12@centros2.pntic.mec.es;Público;
Madrid-Norte;28000595;CP INF-PRI;FEDERICO GARCIA LORCA;Calle Del Marqués De La Valdavia, 91 ;Alcobendas;-;28100;916624593;916624084;cp.garcialorca.alcobendas@educa.madrid.org;-;Público;
Madrid-Oeste;28050458;CP INF-PRI;FEDERICO GARCIA LORCA;Calle De Federico García Lorca, 4 ;Boadilla del Monte;-;28660;916325525;916325525;cp.garcialorca.boadilla@educa.madrid.org;-;Público;
Madrid-Norte;28033837;CP INF-PRI;FEDERICO GARCIA LORCA;Calle De Federico García Lorca, 1 ;Colmenar Viejo;-;28770;918453656;918464997;cp.garcialorca.colmenarviejo@educa.madrid.org;-;Público;
