CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28039116;CP EE;LA QUINTA;Carretera De Somontes Al Palacio De La Quinta, 1 ;Madrid;Fuencarral-El Pardo;28048;913760579;913760400;cpee.laquinta.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Sur;28033564;CP EE;MARIA MONTESSORI;Avenida De América, 49 ;Parla;-;28983;916054622;916992954;cpee.montessori.parla@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Capital;28005556;CP EE;MARIA SORIANO;Avenida De La Peseta, 30 ;Madrid;Carabanchel;28054;914624600;914628444;cpee.mariasoriano.madrid@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor,Residencia;
Madrid-Sur;28036310;CP EE;MIGUEL DE UNAMUNO;Calle Del Gran Capitán, 19 ;Móstoles;-;28933;916183969;916145323;cpee.unamuno.mostoles@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Norte;28040994;CP EE;MIGUEL HERNANDEZ;Calle De Mariano Prados, 6 ;Colmenar Viejo;-;28770;918462581;918459201;cpee.miguelhernandez.colmenarviejo@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Oeste;28058585;CP EE;MONTE ABANTOS;Avenida Esparta, 56 ;Rozas de Madrid, Las;-;28232;916402419;916402419;cpee.monteabantos.lasrozas@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Sur;28081467;CP EE;Nº 1 DE VALDEMORO;Calle Felipe Ii ;Valdemoro;-;-;-;-;-;-;-;Público;-;
Madrid-Este;28033515;CP EE;PABLO PICASSO;Avenida De Castilla, 29 ;Alcalá de Henares;-;28804;918884094;918820233;cpee.picasso.alcala@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Oeste;28039335;CP EE;PEÑALARA;Calle Dehesa Boyal, S/n ;Collado Villalba;-;28400;918511641;918511641;cpee.penalara.colladovillalba@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Capital;28021151;CP EE;PRINCESA SOFIA;Carretera De Canillas, 51 ;Madrid;Hortaleza;28043;913883106;913881650;cpee.princesasofia.madrid@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Sur;28001642;CP EE;PRINCIPE DE ASTURIAS;Calle Zorzales, 11 ;Aranjuez;-;28300;918915378;918915378;cpee.principedeasturias.aranjuez@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Este;28078560;CP EE;ROSA PARKS;Avenida De Berlín, 24 ;Coslada;-;28822;914851631;-;cpee.rosaparks.coslada@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Sur;28076319;CP EE;SANTIAGO RAMON Y CAJAL;Avenida Vereda Del Camuerzo ;Getafe;-;28905;606728808;-;cpee.ramonycajal.getafe@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Sur;28036309;CP EE;SEVERO OCHOA;Calle De Los Robles, 4 ;Alcorcón;-;28922;916442117;916431328;cpee.severoochoa.alcorcon@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Sur;28069704;CP EE;SOR JUANA INES DE LA CRUZ;Calle De Reinosa, 26 ;Fuenlabrada;-;28942;916856829;916909481;cpee.sorjuanainesdelacruz.fuenlabrada@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Capital;28029241;CP EE;VALLECAS;Avenida Mediterráneo (avda.del Campus Sur) ;Madrid;Villa de Vallecas;28031;913313135;913313471;cpee.vallecas.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Norte;28028076;CP EE;VICENTE FERRER;Calle Emilia Pardo Bazán, 1 ;San Sebastián de los Reyes;-;28702;916510025;-;cpee.vicenteferrer.sansebastian@educa.madrid.org;-;-;Público;Transporte,Comedor;
