CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28042875;CEPA;ENRIQUE TIERNO GALVAN;Calle Real, 94 ;Arganda del Rey;-;28500;918716668;918701683;cepa.arganda@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28042954;CEPA;ENTREVIAS;Calle De La Serena, 394 ;Madrid;Puente de Vallecas;28053;917861672;917852574;cepa.entrevias.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28042942;CEPA;FUENCARRAL;Calle De Braille, 10 ;Madrid;Fuencarral-El Pardo;28034;917364684;917340489;cepa.fuencarral.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045414;CEPA;GLORIA FUERTES;Calle De La Constitución, 22 ;Navalcarnero;-;28600;918110560;918115442;cepa.gloriafuertes.navalcarnero@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045438;CEPA;HERMANOS CORREA;Calle De Cuba C/v Av. Hispanoamérica, S/n ;Valdemoro;-;28341;918084201;918956488;cepa.valdemoro@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28033311;CEPA;HORTALEZA-MAR AMARILLO;Calle Del Mar Amarillo, 21 ;Madrid;Hortaleza;28033;917637790;913820234;cepa.maramarillo.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28046479;CEPA;JOAQUIN SOROLLA;Calle De Alonso Heredia, 16 ;Madrid;Salamanca;28028;917261664;917256032;cepa.joaquinsorolla.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28033321;CEPA;JOSE LUIS SAMPEDRO;Calle De Chantada, 34 ;Madrid;Fuencarral-El Pardo;28029;913781949;917301887;cepa.sampedro.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045372;CEPA;JOSE LUIS SAMPEDRO;Avenida De Loyola, 23 ;Aranjuez;-;28300;918924585;918911166;cepa.aranjuez@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28033333;CEPA;LA ALBUFERA;Calle De Nuestra Señora Del Perpetuo Socorro, 23 ;Madrid;Puente de Vallecas;28053;914789325;914785525;cepa.laalbufera.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28059371;CEPA;LA MESTA;Calle Real, 7 ;Villanueva de la Cañada;-;28691;918157556;918157551;cepa.lamesta.villanuevadelacanada@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28059383;CEPA;LA OREJA VERDE;Calle De Guadarrama, 68 ;Galapagar;-;28260;918580623;918581849;cepa.galapagar@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28057805;CEPA;LAS ROSAS;Calle De Arcos De Jalón, 9 ;Madrid;San Blas-Canillejas;28037;913065816;913132523;cepa.lasrosas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28045621;CEPA;LAS ROZAS;Avenida Doctor Toledo, 44 ;Rozas de Madrid, Las;-;28231;916377064;917105499;cepa.lasrozas@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045311;CEPA;LOS ROSALES;Calle De Concepción De La Oliva, 17 ;Madrid;Villaverde;28021;915052034;917971397;cepa.losrosales.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045441;CEPA;MANCOMUNIDAD DEL SUROESTE;Calle De La Macarena (edificio Cidee), 3 ;Humanes de Madrid;-;28970;918103818;918149997;cepa.mancomunidadsuroeste.grinon@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28038665;CEPA;MARIANO JOSE DE LARRA;Plaza Del Raso Rodela, 6 ;Pinto;-;28320;912483809;916912912;cepa.pinto@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28057672;CEPA;MARIO VARGAS LLOSA;Calle Carmen Laforet, 1 ;Majadahonda;-;28220;916349498;916362550;cepa.mariovargasllosa.majadahonda@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045657;CEPA;MONCLOA;Calle De Juan Álvarez Mendizábal, 20 ;Madrid;Moncloa-Aravaca;28008;915597397;915597397;cepa.moncloa.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045293;CEPA;OPORTO;Avenida De Oporto, 46-48 ;Madrid;Carabanchel;28019;915608402;914697543;cepa.oporto.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28046467;CEPA;ORCASITAS;Calle De La Oreja, 186 ;Madrid;Usera;28041;913413251;913414044;cepa.orcasitas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28043260;CEPA;PABLO GUZMAN;Calle De Andorra, 19bis ;Madrid;Hortaleza;28043;913003725;913003725;cepa.pabloguzman.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28042929;CEPA;PAN BENDITO;Calle Del Camino Viejo De Leganés, 188 ;Madrid;Carabanchel;28025;915600590;914608833;cepa.panbendito.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28044549;CEPA;PARACUELLOS DEL JARAMA;Calle De Santa Ana, 27 ;Paracuellos de Jarama;-;28860;916582253;916581793;cepa.paracuellos@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28036930;CEPA;PAULO FREIRE;Calle De Creta, 2 ;Fuenlabrada;-;28943;916082444;916083707;cepa.fuenlabrada@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28042887;CEPA;PEDRO MARTINEZ GAVITO;Calle Teresa Berganza, 35 ;San Lorenzo de El Escorial;-;28200;918907305;918962124;cepa.sanlorenzo@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28057684;CEPA;POZUELO DE ALARCON;Calle Juan Xxiii, 1 ;Pozuelo de Alarcón;-;28224;913512267;917141821;cepa.pozuelodealarcon@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045426;CEPA;RAMON Y CAJAL;Calle Galilea, 11 ;Parla;-;28981;916986430;916999323;cepa.parla@educa.madrid.org;centro9@centros6.pntic.mec.es;-;Público;-;
Madrid-Este;28057660;CEPA;RIVAS-VACIAMADRID;Calle De Los Picos De Urbión, S/n ;Rivas-Vaciamadrid;-;28522;914990536;914990535;cepa.rivas@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045396;CEPA;ROSALIA DE CASTRO;Calle Roncal (c/v A Avda. De La Mancha 50), S/n ;Leganés;-;28915;916880885;916801717;cepa.leganes@educa.madrid.org;cepa.leganes@educa.madrid.org;-;Público;-;
Madrid-Este;28036656;CEPA;SAN FERNANDO DE HENARES;Calle Rafael Sánchez Ferlosio, 3 ;San Fernando de Henares;-;28830;660165165;916712603;cepa.sanfernandodehenares@educa.madrid.org;aulsanfe@almez.pntic.mec.es;-;Público;-;
Madrid-Este;28045669;CEPA;SAN MARTIN DE LA VEGA;Calle Del Maestro Rodrigo, 2 ;San Martín de la Vega;-;28330;918947366;918947200;cepa.sanmartindelavega@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28044628;CEPA;SAN MARTIN DE VALDEIGLESIAS;Calle De La Fuente, 4 ;San Martín de Valdeiglesias;-;28680;918612792;918612792;cepa.sanmartindevaldeiglesias@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28060968;CEPA;SAN SEBASTIAN DE LOS REYES;Avenida De Baunatal (edificio Pablo Iglesias), 18 ;San Sebastián de los Reyes;-;28701;916588990;916637864;cepa.sansebastian@educa.madrid.org;cepa.sansebastian.@educa.madrid.org;-;Público;-;
Madrid-Oeste;28060971;CEPA;SIERRA DE GUADARRAMA;Calle De La Dehesa, S/n ;Collado Mediano;-;28459;918542076;912749987;cepa.sierradeguadarrama.colladomediano@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28044896;CEPA;SIERRA NORTE;Calle Doctor Manuel Hidalgo Huerta, 2 ;Torrelaguna;-;28180;918485515;918485515;cepa.torrelaguna@educa.madrid.org;cepa.torrelaguna@educa.madr;-;Público;-;
Madrid-Capital;28042930;CEPA;TETUAN;Calle De Pinos Alta, 63 ;Madrid;Tetuán;28029;917333837;917333094;cepa.tetuan.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28044562;CEPA;TORRES DE LA ALAMEDA;Calle De La Amapola, 6 ;Torres de la Alameda;-;28813;918858178;918863017;cepa.torresdelaalameda@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28044513;CEPA;VALLECAS;Plaza De Antonio María Segovia, S/n ;Madrid;Villa de Vallecas;28031;913311433;913854563;cepa.vallecas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045323;CEPA;VICALVARO;Calle Del Lago Como, 4 ;Madrid;Vicálvaro;28032;913718492;913718492;cepa.vicalvaro.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28044574;CEPA;VILLAREJO DE SALVANES;Calle Constitucion, 8 ;Villarejo de Salvanés;-;28590;918742470;918743507;cepa.villarejodesalvanes@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28043235;CEPA;VILLAVERDE;Calle Villalonso, 10 ;Madrid;Villaverde;28021;917962820;917962820;cepa.villaverde.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28044501;CEPA;VISTA ALEGRE;Calle Del General Ricardos, 179bi ;Madrid;Carabanchel;28025;914618817;-;cepa.vistaalegre.madrid@educa.madrid.org;-;-;Público;-;
