CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28048531;E MUN.MUSICA;CAMPO REAL;Carretera Villar Del Olmo, 4 ;Campo Real;-;28510;918733230;918733261;em.camporeal@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050008;E MUN.MUSICA;CARABAÑA;Calle Del Real, 100 ;Carabaña;-;28560;918723001;918723242;em.carabana@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28062151;E MUN.MUSICA;CARMELO ALONSO BERNAOLA;Avenida De Soto Palacios, 7 ;Madrid;Fuencarral-El Pardo;28034;917280835;917280836;em.carmeloalonsobernaola.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28056539;E MUN.MUSICA;CASARRUBUELOS;Camino De Torrejón De Velasco, 2 ;Casarrubuelos;-;28978;918167208;918167208;em.casarrubuelos@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28050021;E MUN.MUSICA;CHAPINERIA;Calle Colmenar, 13 ;Chapinería;-;28694;918652008;918652012;em.chapineria@educa.madrid.org;-;-;Público;-;
Madrid-Este;28062163;E MUN.MUSICA;CHINCHON;Avenida Del Generalísimo (los Huertos), 72 ;Chinchón;-;28370;918940004;918940887;em.chinchon@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28081339;E MUN.MUSICA;CIUDAD LINEAL;Calle De La Dalia, 4 ;Madrid;Ciudad Lineal;28033;-;-;-;-;-;Público;-;
Madrid-Norte;28047885;E MUN.MUSICA;COBEÑA;Calle De La Fuente, 7 ;Cobeña;-;28863;916208425;916208425;em.cobena@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28046583;E MUN.MUSICA;COLLADO MEDIANO;Calle De Goya, 5 ;Collado Mediano;-;28450;918554392;918598403;em.colladomediano@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28041160;E MUN.MUSICA;COLLADO VILLALBA;Calle Real, 68 ;Collado Villalba;-;28400;918512898;918510970;em.colladovillalba@educa.madrid.org;-;-;Público;-;
Madrid-Este;28056540;E MUN.MUSICA;COLMENAR DE OREJA;Plaza Del Arco, 3 ;Colmenar de Oreja;-;28380;918943030;918943198;em.colmenardeoreja@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28056552;E MUN.MUSICA;COLMENAR VIEJO (ESC. MUN. MUSICA);Avenida De Andalucía, 55 ;Colmenar Viejo;-;28770;918450053;918458441;em.colmenarviejo@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28058044;E MUN.MUSICA;COLMENAREJO;Calle Madrid, 38 ;Colmenarejo;-;28270;918589072;918425518;em.colmenarejo@educa.madrid.org;-;-;Público;-;
Madrid-Este;28041652;E MUN.MUSICA;COSLADA;Avenida De La Constitución, 47 ;Coslada;-;28821;916278372;916278379;em.coslada@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28041721;E MUN.MUSICA;DIONISIO AGUADO;Calle De La Habana, 33 ;Fuenlabrada;-;28945;914921122;-;em.dionisioaguado.fuenlabrada@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28050045;E MUN.MUSICA;EL ALAMO;Calle Del Romero, 1 ;Álamo, El;-;28607;918122120;918122222;em.elalamo@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28056564;E MUN.MUSICA;EL BOALO;Avenida De Los Prados, 16 ;Boalo, El;-;28413;918559415;918559038;em.elboalo@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28046674;E MUN.MUSICA;EL CAPRICHO;Calle De Joaquín Ibarra, 28 ;Madrid;Barajas;28042;917434646;917434726;em.elcapricho.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28046716;E MUN.MUSICA;ENRIQUE GARCIA ASENSIO;Calle San Antón ;Parla;-;28982;916997508;916054446;em.garciaasensio.parla@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28034325;E MUN.MUSICA;ENRIQUE GRANADOS;Calle Norias, 29 ;Majadahonda;-;28221;916349119;916349118;em.enriquegranados.majadahonda@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28040301;E MUN.MUSICA;FEDERICO CHUECA;Calle De Benita Ávila, 23 ;Madrid;Hortaleza;28043;913882340;917597177;em.federicochueca.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050057;E MUN.MUSICA;FUENTIDUEÑA DE TAJO;Calle De Don Silvino Real, 7 ;Fuentidueña de Tajo;-;28597;0;0;em.fuentiduena@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28046625;E MUN.MUSICA;GALAPAGAR;Calle Guadarrama, 66 ;Galapagar;-;28260;918586473;918586672;em.galapagar@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28046637;E MUN.MUSICA;GRIÑON;Callejon Del Plantío ;Griñón;-;28971;918140186;-;em.grinon@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28056588;E MUN.MUSICA;GUADARRAMA;Calle De Los Herrenes ;Guadarrama;-;28440;918548008;918543091;em.guadarrama@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28071140;E MUN.MUSICA;ISAAC ALBENIZ;Calle De Alfonso Fernández ;Madrid;Carabanchel;28044;915115607;-;-;-;-;Público;-;
Madrid-Sur;28034179;E MUN.MUSICA;JOAQUIN RODRIGO;Calle Del Capitán Angosto Gómez Castrillón, 39 ;Aranjuez;-;28300;918924572;918925000;em.joaquinrodrigo.aranjuez@educa.madrid.org;-;-;Público;-;
Madrid-Este;28056606;E MUN.MUSICA;LOECHES;Plaza Duquesa De Alba ;Loeches;-;28890;918862036;918851136;em.loeches@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28071103;E MUN.MUSICA;LOS MOLINOS;Calle Del Real, 8 ;Molinos. Los;-;28460;918551013;918551017;-;-;-;Público;-;
Madrid-Oeste;28038951;E MUN.MUSICA;LUIGI BOCCHERINI;Avenida De Isabel De Farnesio, 16 ;Boadilla del Monte;-;28660;916326035;916331484;em.carlossoto.boadilla@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28041172;E MUN.MUSICA;MAESTRO BARBIERI;Calle De Cestona, 5 ;Madrid;Usera;28041;913416040;913417860;em.maestrobarbieri.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28039396;E MUN.MUSICA;MAESTRO GOMBAU;Avenida De Las Ciudades, 37 ;Getafe;-;28903;916826195;916839846;em.maestrogombau.getafe@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28034167;E MUN.MUSICA;MANUEL DE FALLA;Calle De Carballino, S/n ;Alcorcón;-;28925;916197900;916112452;em.manueldefalla.alcorcon@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28034180;E MUN.MUSICA;MANUEL RODRIGUEZ SALES;Plaza Pablo Casals, 1 ;Leganés;-;28911;912489570;912489552;em.pablocasals.leganes@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28057246;E MUN.MUSICA;MANUEL VAZQUEZ MONTALBAN;Calle De Francos Rodríguez, 67 ;Madrid;Tetuán;28039;913980721;913980722;em.manuelvazquezmontalban.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28046704;E MUN.MUSICA;MARIA RODRIGO;Calle De Mantuano, 51 ;Madrid;Chamartín;28002;915103754;914134867;em.nicolassalmeron.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050069;E MUN.MUSICA;MECO;Calle De Santa María De La Cabeza, 2 ;Meco;-;28880;918876553;918861143;em.meco@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28058068;E MUN.MUSICA;MORALEJA DE ENMEDIO;Calle Mirasierra, 61 ;Moraleja de Enmedio;-;28950;916004990;916094343;em.moraleja@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050070;E MUN.MUSICA;MORATA DE TAJUÑA;Calle De La Tarayuela, S/n ;Morata de Tajuña;-;28530;918730776;918731477;em.morata@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28081340;E MUN.MUSICA;MORATALAZ;Calle Corregidor Diego De Valderrábano, 66 ;Madrid;Moratalaz;28030;-;-;-;-;-;Público;-;
Madrid-Este;28050082;E MUN.MUSICA;NUEVO BAZTAN;Calle Del Prado, 5 ;Nuevo Baztán;-;28514;918735011;918725517;em.nuevobaztan@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050094;E MUN.MUSICA;ORUSCO DE TAJUÑA;Calle José Cañaveras, S/n ;Orusco de Tajuña;-;28570;918724172;918724855;em.orusco@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28067148;E MUN.MUSICA;PABLO SOROZABAL;Travesia De Bustarviejo, 2 ;Miraflores de la Sierra;-;28792;918449141;918443558;em.pablosorozabal.miraflores@educa.madrid.org;-;-;Público;-;
Madrid-Este;28059930;E MUN.MUSICA;PARACUELLOS DE JARAMA;Calle Ronda De Las Cuestas, 39 ;Paracuellos de Jarama;-;28860;916582773;916580052;em.paracuellos@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28058071;E MUN.MUSICA;PEDREZUELA;Plaza De La Constitución, 6 ;Pedrezuela;-;28723;918433053;918433037;em.pedrezuela@educa.madrid.org;-;-;Público;-;
Madrid-Este;28048491;E MUN.MUSICA;PERALES DE TAJUÑA;Calle Mayor Alta, 37 ;Perales de Tajuña;-;28540;918748004;918749030;em.perales@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28041664;E MUN.MUSICA;PINTO;Calle De La Sagrada Familia, 3 ;Pinto;-;28320;912483816;912483718;em.pinto@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28040313;E MUN.MUSICA;POZUELO DE ALARCON;Carretera Humera, 15 ;Pozuelo de Alarcón;-;28224;917156062;913521459;em.pozuelodealarcon@educa.madrid.org;-;-;Público;-;
Madrid-Este;28046731;E MUN.MUSICA;RIVAS-VACIAMADRID;Plaza De La Constitución, S/n ;Rivas-Vaciamadrid;-;28529;916602730;916602726;em.rivas@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28056621;E MUN.MUSICA;ROBLEDO DE CHAVELA;Plaza De España, 1 ;Robledo de Chavela;-;28294;918995961;918998545;em.robledo@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28048506;E MUN.MUSICA;SAN LORENZO DE EL ESCORIAL;Calle Vista Bella, 5 ;San Lorenzo de El Escorial;-;28200;918960103;918902571;em.elescorial@educa.madrid.org;-;-;Público;-;
Madrid-Este;28041688;E MUN.MUSICA;SAN MARTIN DE LA VEGA;Calle Del Maestro Rodrigo, 2 ;San Martín de la Vega;-;28330;918947366;918947200;em.sanmartindelavega@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28046765;E MUN.MUSICA;SAN MARTIN DE VALDEIGLESIAS;Calle Del General Martínez Benito, 4 ;San Martín de Valdeiglesias;-;28680;918611066;918610846;em.sanmartindevaldeiglesias@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28046777;E MUN.MUSICA;SAN SEBASTIAN DE LOS REYES;Avenida De Baunatal, 18 ;San Sebastián de los Reyes;-;28701;916588990;916535581;em.sansebastian@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28065693;E MUN.MUSICA;SERRANILLOS DEL VALLE;Calle De Los Magnolios, 3 ;Serranillos del Valle;-;28979;-;918104273;em.serranillos@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28048543;E MUN.MUSICA;SOTO DEL REAL;Calle Orden-prado Real, 10 ;Soto del Real;-;28791;918476004;918478141;em.soto@educa.madrid.org;-;-;Público;-;
Madrid-Este;28041706;E MUN.MUSICA;TORREJON DE ARDOZ;Calle Hilados, 2 ;Torrejón de Ardoz;-;28850;916774480;916774991;em.torrejondeardoz@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28050100;E MUN.MUSICA;TORREJON DE LA CALZADA (ESC. MUN. MUSICA);Calle Veintisiete De Octubre ;Torrejón de la Calzada;-;28991;918160352;918169077;em.torrejondelacalzada@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28050112;E MUN.MUSICA;TORRELAGUNA;Calle Doctor Manuel Hidalgo Huertas, 2 ;Torrelaguna;-;28180;918431631;918430077;em.torrelaguna@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28040337;E MUN.MUSICA;TORRELODONES;Calle Javier García De Leaniz, 9 ;Torrelodones;-;28250;918591047;918590168;em.torrelodones@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28050124;E MUN.MUSICA;TORREMOCHA DE JARAMA;Calle Del Canal De Isabel Ii, 18 ;Torremocha de Jarama;-;28189;918430019;918431104;em.torremocha@educa.madrid.org;-;-;Público;-;
Madrid-Este;28050136;E MUN.MUSICA;TORRES DE LA ALAMEDA (ESC. MUN. MUSICA);Calle De Las Escuelas, 8 ;Torres de la Alameda;-;28813;918868250;918868313;em.torres@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28046807;E MUN.MUSICA;TRES CANTOS;Plaza Del Ayuntamiento, 2 ;Tres Cantos;-;28760;912938133;912938133;em.trescantos@educa.madrid.org;-;-;Público;-;
Madrid-Este;28056631;E MUN.MUSICA;VALDARACETE;Carretera M-404 (aranjuez-brea) ;Valdaracete;-;28594;918739590;918739522;em.valdaracete@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28056643;E MUN.MUSICA;VALDEMORO;Calle Pizarro ;Valdemoro;-;28342;918018876;918099602;em.valdemoro@educa.madrid.org;-;-;Público;-;
Madrid-Este;28048521;E MUN.MUSICA;VALDILECHA;Calle Miguel De Cervantes, 4 ;Valdilecha;-;28511;918738381;918738218;em.valdilecha@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28065361;E MUN.MUSICA;VICALVARO (ESC. MUN. MUSICA);Bulevar De Indalecio Prieto ;Madrid;Vicálvaro;28032;913016914;913016960;em.vicalvaro.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28056591;E MUN.MUSICA;VILLA DE HUMANES;Calle De Estanislao Zazo, 32 ;Humanes de Madrid;-;28970;916042564;916040119;em.villa.humanes@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28058032;E MUN.MUSICA;VILLA DE VALLECAS (ESC. MUN. MUSICA);Calle De Agustin Garcia Malla, 4 ;Madrid;Villa de Vallecas;28031;913013502;913013503;em.villadevallecas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28050151;E MUN.MUSICA;VILLA DEL PRADO;Plaza De Francisco Cales Otero, 1 ;Villa del Prado;-;28630;918620002;918621095;em.villadelprado@educa.madrid.org;-;-;Público;-;
Madrid-Este;28056655;E MUN.MUSICA;VILLALBILLA;Avenida Dinamarca, 2 ;Villalbilla;-;28810;918792772;918859011;em.villalbilla@educa.madrid.org;-;-;Público;-;
Madrid-Este;28065701;E MUN.MUSICA;VILLAR DEL OLMO;Calle Carlos Ruiz, 9 ;Villar del Olmo;-;28512;918732161;918732104;em.villardelolmo@educa.madrid.org;-;-;Público;-;
Madrid-Este;28046819;E MUN.MUSICA;VILLAREJO DE SALVANES;Calle De Luis De Requesens, 19 ;Villarejo de Salvanés;-;28590;918744002;918744545;em.villarejo@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28048555;E MUN.MUSICA;VILLAVICIOSA DE ODON;Calle Arroyo, 12 ;Villaviciosa de Odón;-;28670;916160053;916160053;em.villaviciosa@educa.madrid.org;-;-;Público;-;
